experiment	metric	value
E0001	val_auc	1.0
E0001	val_pr_auc	1.0
E0001	val_logloss	0.07082762149900486
E0001	val_brier	0.02640880749483023
E0001	val_lift_top10	3.3333333333333335
E0001	val_best_threshold	0.05
E0001	val_f1_at_best	1.0
E0001	wall_seconds	0.03461194038391113
E0001	min_proba_std	0.42251793179952934
E0001	proba_range	0.9999888008252708
E0001	proba_unique_values	20
E0001	model_path	models/best_primary_E0001_0.0264088_5643113e72b7.joblib
E0001	val_accuracy	0.95
E0001	val_f1	0.9090909090909091
E0001	cal_intercept	16.99334937571947
E0001	cal_slope	8.270447266233768
E0002	val_auc	1.0
E0002	val_pr_auc	1.0
E0002	val_logloss	0.09435555617479663
E0002	val_brier	0.03135005723042756
E0002	val_lift_top10	3.3333333333333335
E0002	val_best_threshold	0.06999999999999999
E0002	val_f1_at_best	1.0
E0002	wall_seconds	0.02334904670715332
E0002	min_proba_std	0.40772851830706097
E0002	proba_range	0.9996636410514628
E0002	proba_unique_values	19
E0002	val_accuracy	0.95
E0002	val_f1	0.9090909090909091
E0002	cal_intercept	21.501079565536067
E0002	cal_slope	10.742928245491315
E0003	val_auc	0.8511904761904762
E0003	val_pr_auc	0.7436868686868686
E0003	val_logloss	0.46961765651531523
E0003	val_brier	0.1563078643114978
E0003	val_lift_top10	3.3333333333333335
E0003	val_best_threshold	0.25
E0003	val_f1_at_best	0.7058823529411765
E0003	wall_seconds	0.050523996353149414
E0003	min_proba_std	0.26275177294422414
E0003	proba_range	0.87918372935687
E0003	proba_unique_values	19
E0003	val_accuracy	0.8
E0003	val_f1	0.6666666666666666
E0003	cal_intercept	-0.5453454418804012
E0003	cal_slope	1.0834820912261345
